"Date","Price","Open","High","Low","Vol.","Change %"
"04/03/2025","19,238.40","19,051.10","19,271.65","19,044.50","","0.20%"
"04/02/2025","19,200.75","18,974.45","19,212.70","18,804.75","","1.42%"
"04/01/2025","18,931.40","19,081.45","19,222.30","18,889.70","","-0.99%"
"03/28/2025","19,120.35","19,260.15","19,389.60","19,039.35","","-0.29%"
"03/27/2025","19,175.40","19,029.70","19,213.20","18,966.70","","0.36%"
"03/26/2025","19,106.65","19,256.00","19,377.20","19,083.65","","-0.63%"
"03/25/2025","19,228.35","19,556.25","19,568.40","19,138.50","","-0.98%"
"03/24/2025","19,418.30","19,343.50","19,501.15","19,260.00","","1.12%"
"03/21/2025","19,203.30","18,963.95","19,227.05","18,914.65","","1.34%"
"03/20/2025","18,948.45","18,959.40","19,008.90","18,778.45","","0.55%"
"03/19/2025","18,844.40","18,486.90","18,874.25","18,453.30","","2.37%"
"03/18/2025","18,408.40","18,132.65","18,428.45","18,088.25","","2.06%"
"03/17/2025","18,037.25","17,931.70","18,101.90","17,897.90","","0.76%"
"03/13/2025","17,902.00","18,082.65","18,106.05","17,871.50","","-0.62%"
"03/12/2025","18,014.25","18,167.95","18,221.95","17,820.85","","-0.51%"
"03/11/2025","18,106.90","17,866.10","18,145.20","17,800.95","","0.42%"
"03/10/2025","18,031.10","18,308.85","18,416.50","17,974.45","","-1.42%"
"03/07/2025","18,290.60","18,334.90","18,453.20","18,261.30","","-0.27%"
"03/06/2025","18,341.00","18,407.55","18,477.45","18,283.20","","0.55%"
"03/05/2025","18,240.15","17,756.75","18,250.55","17,756.75","","2.43%"
"03/04/2025","17,807.30","17,583.10","17,895.00","17,449.95","","0.16%"
"03/03/2025","17,778.55","17,768.55","17,822.95","17,379.60","","0.16%"
"02/28/2025","17,750.55","18,025.40","18,032.15","17,591.90","","-2.35%"
"02/27/2025","18,176.85","18,413.10","18,453.95","18,113.90","","-1.26%"
"02/25/2025","18,408.75","18,485.95","18,595.10","18,371.05","","-0.51%"
"02/24/2025","18,503.90","18,507.55","18,567.55","18,341.35","","-0.95%"
"02/21/2025","18,681.35","18,869.80","19,039.85","18,604.10","","-1.10%"
"02/20/2025","18,888.80","18,598.50","18,904.20","18,534.30","","1.31%"
"02/19/2025","18,644.90","18,278.50","18,669.85","18,190.55","","1.46%"
"02/18/2025","18,375.85","18,428.00","18,453.75","18,157.25","","-0.18%"
"02/17/2025","18,408.45","18,215.15","18,429.65","17,934.00","","0.34%"
"02/14/2025","18,346.80","18,856.35","18,891.35","18,164.95","","-2.39%"
"02/13/2025","18,796.80","18,795.60","19,035.95","18,729.35","","0.16%"
"02/12/2025","18,766.85","18,797.25","18,871.80","18,277.25","","-0.37%"
"02/11/2025","18,837.00","19,408.40","19,434.20","18,721.70","","-2.94%"
"02/10/2025","19,406.95","19,817.25","19,843.20","19,348.05","","-2.08%"
"02/07/2025","19,819.60","19,814.70","19,919.15","19,613.50","","0.13%"
"02/06/2025","19,793.75","20,074.70","20,086.70","19,739.30","","-1.01%"
"02/05/2025","19,995.70","19,934.05","20,098.90","19,915.30","","0.74%"
"02/04/2025","19,849.15","19,705.25","19,868.95","19,653.75","","1.38%"
"02/03/2025","19,579.20","19,632.15","19,683.65","19,431.30","","-0.98%"
"02/01/2025","19,773.40","19,931.85","20,000.55","19,518.70","","-0.39%"
"01/31/2025","19,850.95","19,557.85","19,878.20","19,514.90","","1.73%"
"01/30/2025","19,514.25","19,566.85","19,679.55","19,450.65","","0.17%"
"01/29/2025","19,481.75","19,045.55","19,499.60","19,042.45","","2.43%"
"01/28/2025","19,019.10","19,190.75","19,241.10","18,778.00","","-0.69%"
"01/27/2025","19,152.10","19,528.65","19,533.00","19,091.90","","-2.83%"
"01/24/2025","19,708.95","20,053.35","20,114.25","19,648.70","","-1.69%"
"01/23/2025","20,047.95","19,717.45","20,102.80","19,682.45","","1.78%"
"01/22/2025","19,696.90","19,974.15","19,992.35","19,431.25","","-1.25%"
"01/21/2025","19,946.30","20,384.95","20,406.85","19,926.60","","-1.99%"
"01/20/2025","20,350.90","20,310.80","20,398.45","20,083.25","","0.77%"
"01/17/2025","20,195.90","20,181.45","20,264.70","20,062.35","","0.12%"
"01/16/2025","20,172.65","20,146.45","20,277.50","20,134.10","","1.09%"
"01/15/2025","19,955.40","19,973.45","20,091.30","19,798.65","","0.36%"
"01/14/2025","19,883.35","19,536.35","19,930.60","19,535.70","","2.18%"
"01/13/2025","19,458.30","20,015.55","20,070.50","19,393.85","","-3.92%"
"01/10/2025","20,252.95","20,632.50","20,659.20","20,234.10","","-2.04%"
"01/09/2025","20,674.25","20,852.50","20,911.25","20,646.05","","-0.80%"
"01/08/2025","20,840.30","21,099.80","21,104.70","20,649.20","","-1.05%"
"01/07/2025","21,060.80","20,930.30","21,142.20","20,928.00","","0.87%"
"01/06/2025","20,879.65","21,477.45","21,481.10","20,815.15","","-2.52%"
"01/03/2025","21,419.30","21,512.00","21,579.35","21,390.75","","-0.25%"
"01/02/2025","21,473.15","21,286.75","21,491.85","21,228.90","","1.07%"
"01/01/2025","21,246.50","21,148.80","21,257.15","21,083.60","","0.50%"
"12/31/2024","21,141.20","21,015.00","21,187.05","20,864.95","","0.15%"
"12/30/2024","21,109.25","21,067.25","21,170.60","20,921.85","","0.18%"
"12/27/2024","21,071.85","21,143.05","21,179.20","21,059.25","","-0.12%"
"12/26/2024","21,096.85","21,108.05","21,150.40","20,937.05","","0.08%"
"12/24/2024","21,080.70","21,100.60","21,160.90","20,959.15","","0.02%"
"12/23/2024","21,076.15","21,144.65","21,197.00","20,933.00","","0.12%"
"12/20/2024","21,050.60","21,638.95","21,665.30","21,017.70","","-2.41%"
"12/19/2024","21,571.30","21,267.30","21,588.55","21,247.90","","-0.24%"
"12/18/2024","21,623.10","21,756.60","21,770.10","21,531.75","","-0.60%"
"12/17/2024","21,754.10","21,904.75","21,960.25","21,724.70","","-0.66%"
"12/16/2024","21,898.80","21,805.45","21,914.65","21,794.50","","0.69%"
"12/13/2024","21,748.10","21,722.65","21,762.15","21,411.70","","-0.10%"
"12/12/2024","21,770.05","21,907.50","21,917.55","21,744.15","","-0.50%"
"12/11/2024","21,879.55","21,825.55","21,898.85","21,807.80","","0.32%"
"12/10/2024","21,809.10","21,774.50","21,824.00","21,703.95","","0.28%"
"12/09/2024","21,748.50","21,661.00","21,774.85","21,646.50","","0.38%"
"12/06/2024","21,665.40","21,622.55","21,686.95","21,532.65","","0.41%"
"12/05/2024","21,577.65","21,595.80","21,602.75","21,431.00","","0.43%"
"12/04/2024","21,485.15","21,368.10","21,500.05","21,327.75","","0.91%"
"12/03/2024","21,291.35","21,228.05","21,303.75","21,193.00","","0.88%"
"12/02/2024","21,105.95","20,911.05","21,126.45","20,849.65","","0.95%"
"11/29/2024","20,906.65","20,860.05","20,941.10","20,792.70","","0.32%"
"11/28/2024","20,839.90","20,885.65","21,001.30","20,794.20","","0.01%"
"11/27/2024","20,838.20","20,794.40","20,849.85","20,650.15","","0.50%"
"11/26/2024","20,735.10","20,799.65","20,880.80","20,718.40","","0.05%"
"11/25/2024","20,725.70","20,742.90","20,833.10","20,706.20","","1.53%"
"11/22/2024","20,412.65","20,208.60","20,427.00","20,171.20","","1.15%"
"11/21/2024","20,180.90","20,247.25","20,270.40","20,014.25","","-0.38%"
"11/19/2024","20,258.10","20,143.50","20,429.20","20,142.40","","0.94%"
"11/18/2024","20,068.55","20,181.80","20,213.90","19,936.85","","-0.18%"
"11/14/2024","20,105.25","20,033.45","20,247.20","20,030.40","","0.47%"
"11/13/2024","20,010.75","20,478.70","20,506.70","19,955.75","","-2.67%"
"11/12/2024","20,560.60","20,825.25","20,935.45","20,507.40","","-0.91%"
"11/11/2024","20,749.95","20,871.00","20,923.75","20,714.45","","-0.81%"
"11/08/2024","20,919.90","21,229.85","21,235.00","20,870.15","","-1.30%"
"11/07/2024","21,194.85","21,388.15","21,434.75","21,173.45","","-0.49%"
"11/06/2024","21,298.50","20,972.90","21,324.20","20,945.90","","2.09%"
"11/05/2024","20,862.10","20,737.20","20,882.75","20,563.70","","0.46%"
"11/04/2024","20,767.40","21,042.40","21,042.40","20,663.45","","-1.21%"
"11/01/2024","21,021.10","21,014.75","21,077.60","20,993.00","","0.69%"
"10/31/2024","20,876.70","20,919.35","20,942.55","20,750.35","","-0.19%"
"10/30/2024","20,916.70","20,836.90","21,067.60","20,773.30","","0.24%"
"10/29/2024","20,867.40","20,779.95","20,888.80","20,516.85","","0.83%"
"10/28/2024","20,695.55","20,575.75","20,773.95","20,472.20","","0.64%"
"10/25/2024","20,563.70","20,983.85","20,996.65","20,365.80","","-1.76%"
"10/24/2024","20,932.75","20,987.40","21,074.75","20,884.15","","-0.25%"
"10/23/2024","20,985.25","20,846.30","21,162.35","20,655.85","","0.51%"
"10/22/2024","20,879.45","21,436.75","21,468.90","20,850.45","","-2.57%"
"10/21/2024","21,429.90","21,807.50","21,869.50","21,406.20","","-1.50%"
"10/18/2024","21,755.65","21,625.75","21,785.35","21,384.00","","0.17%"
"10/17/2024","21,718.50","22,116.05","22,123.25","21,702.20","","-1.66%"
"10/16/2024","22,085.10","22,103.40","22,151.05","21,979.30","","-0.20%"
"10/15/2024","22,128.65","22,136.15","22,146.15","22,020.00","","0.32%"
"10/14/2024","22,058.80","22,029.95","22,072.95","21,920.50","","0.36%"
"10/11/2024","21,979.15","21,917.85","21,994.30","21,851.30","","0.43%"
"10/10/2024","21,885.65","22,037.20","22,087.40","21,850.10","","-0.15%"
"10/09/2024","21,918.30","21,831.80","22,040.00","21,817.70","","1.07%"
"10/08/2024","21,685.65","21,191.00","21,726.40","21,119.45","","1.98%"
"10/07/2024","21,264.50","21,795.95","21,834.25","21,106.05","","-2.05%"
"10/04/2024","21,710.60","21,878.65","21,983.05","21,496.20","","-0.89%"
"10/03/2024","21,904.70","22,069.45","22,277.25","21,847.40","","-2.12%"
"10/01/2024","22,379.75","22,339.75","22,400.30","22,221.15","","0.30%"
"09/30/2024","22,311.95","22,302.65","22,363.10","22,175.80","","-0.22%"
"09/27/2024","22,360.85","22,410.55","22,434.55","22,323.85","","-0.03%"
"09/26/2024","22,367.85","22,412.35","22,416.30","22,192.75","","0.05%"
"09/25/2024","22,357.40","22,509.85","22,515.40","22,294.15","","-0.61%"
"09/24/2024","22,493.50","22,481.75","22,508.75","22,431.10","","0.31%"
"09/23/2024","22,423.70","22,369.15","22,442.55","22,261.25","","0.75%"
"09/20/2024","22,256.10","22,064.40","22,326.35","21,971.80","","1.32%"
"09/19/2024","21,965.15","22,190.75","22,245.85","21,621.60","","-0.52%"
"09/18/2024","22,079.90","22,261.30","22,283.45","21,971.55","","-0.70%"
"09/17/2024","22,235.35","22,311.50","22,320.60","22,174.20","","-0.13%"
"09/16/2024","22,264.70","22,306.05","22,314.85","22,188.15","","0.34%"
"09/13/2024","22,190.35","22,127.00","22,243.55","22,093.50","","0.65%"
"09/12/2024","22,047.70","21,963.50","22,061.95","21,893.50","","1.14%"
"09/11/2024","21,798.95","21,921.65","21,991.60","21,760.95","","-0.25%"
"09/10/2024","21,853.55","21,766.45","21,902.15","21,757.05","","1.07%"
"09/09/2024","21,621.40","21,665.50","21,672.70","21,415.95","","-0.25%"
"09/06/2024","21,675.80","22,003.95","22,030.85","21,639.40","","-1.37%"
"09/05/2024","21,976.90","22,002.95","22,030.85","21,943.55","","0.37%"
"09/04/2024","21,895.35","21,763.10","21,913.10","21,721.35","","-0.08%"
"09/03/2024","21,913.80","21,912.25","21,983.20","21,892.90","","0.23%"
"09/02/2024","21,862.85","22,014.15","22,015.15","21,800.45","","-0.29%"
"08/30/2024","21,925.45","21,832.60","21,956.35","21,773.15","","0.85%"
"08/29/2024","21,741.35","21,865.45","21,880.50","21,618.05","","-0.45%"
"08/28/2024","21,838.70","21,934.45","21,943.40","21,760.85","","-0.14%"
"08/27/2024","21,869.75","21,811.75","21,884.05","21,788.25","","0.51%"
"08/26/2024","21,758.45","21,746.75","21,778.50","21,678.00","","0.52%"
"08/23/2024","21,645.65","21,801.65","21,809.10","21,633.00","","-0.53%"
"08/22/2024","21,760.35","21,719.70","21,792.50","21,687.00","","0.66%"
"08/21/2024","21,617.70","21,547.10","21,634.70","21,500.40","","0.41%"
"08/20/2024","21,529.05","21,452.40","21,540.95","21,386.65","","0.83%"
"08/19/2024","21,351.40","21,413.35","21,455.60","21,302.50","","0.25%"
"08/16/2024","21,298.35","21,061.25","21,310.80","21,027.35","","1.82%"
"08/14/2024","20,917.75","21,116.80","21,135.35","20,842.20","","-0.60%"
"08/13/2024","21,044.95","21,298.90","21,318.35","21,010.55","","-0.77%"
"08/12/2024","21,208.70","21,089.75","21,247.45","20,976.10","","0.27%"
"08/09/2024","21,151.35","21,173.75","21,233.65","21,100.05","","0.76%"
"08/08/2024","20,991.00","21,114.00","21,176.20","20,964.65","","-0.35%"
"08/07/2024","21,063.70","20,969.25","21,085.25","20,786.90","","2.20%"
"08/06/2024","20,611.15","20,888.25","21,138.85","20,555.95","","-0.60%"
